iter	MultiClass
0	3.347888047
1	3.290571295
2	3.236793505
3	3.194501722
4	3.147617751
5	3.103366925
6	3.072988799
7	3.036126907
8	3.000352516
9	2.966543865
10	2.939366168
11	2.898795672
12	2.868351484
13	2.842054916
14	2.809377728
15	2.783109933
16	2.754500899
17	2.724903397
18	2.691682846
19	2.666631481
20	2.647360494
21	2.620137751
22	2.591641682
23	2.564744003
24	2.542627335
25	2.517573874
26	2.495486336
27	2.481697046
28	2.455510249
29	2.439708614
30	2.417101586
31	2.398859688
32	2.378357837
33	2.365682721
34	2.348530016
35	2.334168282
36	2.321027469
37	2.30387006
38	2.290271497
39	2.27258008
40	2.255843806
41	2.236708421
42	2.218220257
43	2.198859865
44	2.182136224
45	2.169260479
46	2.153833043
47	2.139947611
48	2.124662137
49	2.107058402
50	2.090096805
51	2.077258895
52	2.06478369
53	2.047426901
54	2.035094879
55	2.028135144
56	2.016816076
57	2.005046746
58	1.996237779
59	1.986557604
60	1.975793972
61	1.964292374
62	1.948090669
63	1.934336478
64	1.924484823
65	1.914677367
66	1.90037315
67	1.887654162
68	1.879001133
69	1.867253033
70	1.859124935
71	1.845358226
72	1.832050716
73	1.825905472
74	1.817919664
75	1.805325255
76	1.799319792
77	1.7930404
78	1.783267126
79	1.777540126
80	1.767613653
81	1.761124287
82	1.749871764
83	1.739997663
84	1.730058318
85	1.718306996
86	1.71133971
87	1.705093368
88	1.695337177
89	1.691856493
90	1.684036965
91	1.675789582
92	1.667252182
93	1.662294214
94	1.655127554
95	1.646213464
96	1.639021585
97	1.631556994
98	1.622876241
99	1.613722429
100	1.605565658
101	1.597802524
102	1.591465885
103	1.584044916
104	1.575806084
105	1.56835713
106	1.560265381
107	1.553462369
108	1.545751745
109	1.537683846
110	1.529963334
111	1.522209149
112	1.514315079
113	1.508520251
114	1.503232057
115	1.496775067
116	1.491649122
117	1.483709941
118	1.476831152
119	1.469438164
120	1.462351988
121	1.45487163
122	1.447346175
123	1.439745941
124	1.433230101
125	1.426502983
126	1.420782652
127	1.415722368
128	1.411996898
129	1.408681942
130	1.403390739
131	1.397911173
132	1.393687687
133	1.388593959
134	1.381811504
135	1.377446938
136	1.370671449
137	1.363470671
138	1.359049393
139	1.352897259
140	1.348292454
141	1.341973455
142	1.336675739
143	1.330887752
144	1.325199914
145	1.319187386
146	1.312879659
147	1.307740322
148	1.304562972
149	1.302605641
150	1.299849499
151	1.296024232
152	1.289802798
153	1.284929234
154	1.279470301
155	1.274868483
156	1.270545751
157	1.266093982
158	1.260999206
159	1.258777776
160	1.255205264
161	1.250906091
162	1.247298252
163	1.243372813
164	1.239817728
165	1.234753721
166	1.232923365
167	1.229589786
168	1.22511907
169	1.222524211
170	1.219191404
171	1.214522424
172	1.211420501
173	1.207115321
174	1.20344041
175	1.20052201
176	1.196854845
177	1.192268549
178	1.188500452
179	1.183967111
180	1.179361821
181	1.175266354
182	1.172160478
183	1.168111155
184	1.163820465
185	1.161371325
186	1.1570239
187	1.153944708
188	1.149911845
189	1.147069814
190	1.14286732
191	1.139832247
192	1.13620768
193	1.131906988
194	1.127579628
195	1.1236001
196	1.120232849
197	1.116070183
198	1.113115507
199	1.109732895
200	1.106791968
201	1.103906845
202	1.099840639
203	1.096672817
204	1.092635558
205	1.08991506
206	1.087284884
207	1.083412135
208	1.079812136
209	1.075502464
210	1.072549962
211	1.070318407
212	1.068849937
213	1.067605408
214	1.066444563
215	1.062408721
216	1.058691203
217	1.05458143
218	1.051961951
219	1.047904259
220	1.045548335
221	1.042087236
222	1.039004991
223	1.037590691
224	1.03352411
