iter	Passed	Remaining
0	208	1047038
1	293	737389
2	378	633111
3	464	582358
4	548	550919
5	624	522298
6	707	507014
7	791	496258
8	875	487742
9	959	480937
10	1042	474915
11	1125	470104
12	1208	465598
13	1293	462709
14	1377	459829
15	1463	457933
16	1548	455988
17	1633	454068
18	1717	452306
19	1802	450836
20	1885	449114
21	1973	448538
22	2061	448172
23	2148	447458
24	2237	447230
25	2328	447501
26	2417	447346
27	2505	447044
28	2595	446902
29	2681	446210
30	2765	445381
31	2850	444598
32	2936	443972
33	3021	443382
34	3107	442829
35	3192	442186
36	3277	441729
37	3362	441102
38	3447	440551
39	3532	440095
40	3619	439785
41	3706	439525
42	3792	439219
43	3877	438732
44	3963	438473
45	4050	438219
46	4137	438005
47	4222	437635
48	4306	437197
49	4392	436906
50	4475	436360
51	4562	436168
52	4646	435749
53	4733	435543
54	4816	435067
55	4901	434747
56	4988	434627
57	5074	434393
58	5160	434157
59	5246	433993
60	5331	433725
61	5415	433331
62	5501	433146
63	5586	432836
64	5670	432539
65	5754	432203
66	5838	431882
67	5925	431759
68	6007	431326
69	6089	430871
70	6173	430549
71	6255	430126
72	6338	429822
73	6423	429592
74	6511	429606
75	6594	429263
76	6676	428862
77	6759	428521
78	6841	428185
79	6926	427955
80	7010	427750
81	7096	427607
82	7186	427731
83	7273	427658
84	7358	427484
85	7444	427352
86	7529	427167
87	7612	426931
88	7695	426642
89	7778	426371
90	7866	426327
91	7952	426260
92	8036	426007
93	8120	425788
94	8202	425482
95	8285	425243
96	8369	425030
97	8452	424773
98	8537	424623
99	8621	424450
100	8705	424260
101	8789	424073
102	8874	423885
103	8958	423708
104	9044	423621
105	9128	423424
106	9211	423195
107	9294	422993
108	9379	422833
109	9462	422629
110	9546	422437
111	9629	422242
112	9711	421981
113	9793	421712
114	9874	421437
115	9957	421232
116	10042	421107
117	10124	420845
118	10207	420635
119	10287	420326
120	10369	420109
121	10455	420000
122	10540	419887
123	10624	419772
124	10711	419716
125	10795	419561
126	10878	419395
127	10961	419208
128	11044	419012
129	11128	418850
130	11212	418723
131	11294	418504
132	11376	418283
133	11459	418100
134	11541	417888
135	11624	417703
136	11704	417445
137	11788	417290
138	11872	417150
139	11953	416929
140	12037	416794
141	12122	416676
142	12206	416562
143	12291	416444
144	12376	416363
145	12460	416241
146	12543	416066
147	12625	415865
148	12707	415693
149	12789	415486
150	12873	415371
151	12955	415176
152	13037	414987
153	13119	414788
154	13203	414670
155	13287	414540
156	13369	414358
157	13452	414216
158	13535	414052
159	13619	413947
160	13702	413796
161	13786	413671
162	13869	413536
163	13956	413492
164	14039	413353
165	14120	413160
166	14204	413043
167	14286	412863
168	14369	412730
169	14453	412592
170	14536	412456
171	14619	412323
172	14701	412154
173	14783	411995
174	14869	411939
175	14951	411774
176	15034	411623
177	15116	411466
178	15199	411329
179	15284	411225
180	15367	411111
181	15455	411090
182	15539	411001
183	15624	410900
184	15708	410796
185	15791	410669
186	15876	410586
187	15960	410466
188	16043	410349
189	16126	410208
190	16209	410069
191	16294	409988
192	16375	409816
193	16458	409689
194	16541	409553
195	16623	409392
196	16705	409243
197	16788	409120
198	16870	408970
199	16951	408795
200	17035	408688
201	17119	408580
202	17204	408501
203	17289	408412
204	17370	408240
205	17453	408121
206	17536	407996
207	17619	407880
208	17701	407725
209	17785	407631
210	17867	407471
211	17955	407466
212	18042	407438
213	18130	407429
214	18216	407376
215	18300	407276
216	18386	407212
217	18471	407131
218	18555	407026
219	18637	406888
220	18721	406785
221	18806	406720
222	18894	406697
223	18981	406657
224	19065	406552
225	19146	406399
226	19229	406285
227	19314	406189
228	19396	406056
229	19479	405942
230	19562	405808
231	19646	405713
232	19731	405639
233	19814	405522
234	19898	405414
235	19978	405247
236	20061	405133
237	20144	405004
238	20227	404880
239	20309	404751
240	20397	404741
241	20483	404676
242	20571	404648
243	20656	404572
244	20740	404476
245	20823	404358
246	20904	404218
247	20986	404070
248	21068	403944
249	21149	403786
250	21234	403702
251	21316	403576
252	21398	403445
253	21482	403344
254	21565	403228
255	21647	403109
256	21730	402982
257	21813	402878
258	21897	402786
259	21980	402666
260	22064	402570
261	22151	402533
262	22239	402503
263	22323	402409
264	22407	402319
265	22489	402187
266	22571	402064
267	22655	401959
268	22738	401852
269	22821	401745
270	22906	401664
271	22987	401522
272	23071	401425
273	23155	401341
274	23238	401229
275	23322	401127
276	23405	401028
277	23488	400905
278	23571	400806
279	23657	400741
280	23742	400667
281	23828	400599
282	23911	400497
283	23995	400402
284	24076	400260
285	24159	400148
286	24242	400043
287	24326	399944
288	24408	399819
289	24491	399723
290	24573	399594
291	24656	399491
292	24739	399370
293	24820	399231
294	24902	399121
295	24986	399018
296	25069	398919
297	25150	398786
298	25230	398625
299	25314	398540
300	25399	398461
301	25484	398391
302	25570	398331
303	25655	398246
304	25739	398153
305	25826	398116
306	25911	398042
307	25997	397975
308	26082	397906
309	26165	397796
310	26248	397689
311	26332	397601
312	26414	397481
313	26496	397365
314	26581	397293
315	26663	397173
316	26747	397072
317	26830	396975
318	26911	396835
319	26994	396736
320	27081	396689
321	27166	396612
322	27252	396557
323	27335	396450
324	27418	396345
325	27501	396244
326	27582	396112
327	27665	395997
328	27748	395895
329	27831	395798
330	27913	395684
331	28000	395637
332	28088	395600
333	28172	395508
334	28254	395398
335	28337	395290
336	28420	395182
337	28502	395077
338	28585	394968
339	28671	394905
340	28755	394824
341	28841	394762
342	28925	394669
343	29006	394535
344	29086	394401
345	29169	394296
346	29251	394183
347	29337	394112
348	29419	394006
349	29500	393875
350	29583	393770
351	29665	393653
352	29749	393573
353	29831	393450
354	29913	393343
355	29995	393226
356	30079	393136
357	30163	393050
358	30249	392992
359	30333	392899
360	30418	392827
361	30502	392743
362	30586	392651
363	30671	392575
364	30753	392466
365	30835	392354
366	30918	392256
367	31000	392138
368	31083	392038
369	31165	391924
370	31246	391804
371	31329	391708
372	31412	391598
373	31494	391495
374	31578	391407
375	31660	391295
376	31744	391210
377	31825	391077
378	31909	390996
379	31992	390900
380	32077	390822
381	32161	390742
382	32245	390648
383	32327	390538
384	32410	390446
385	32492	390333
386	32574	390221
387	32656	390114
388	32740	390020
389	32821	389903
390	32904	389801
391	32987	389703
392	33068	389583
393	33150	389479
394	33233	389374
395	33316	389281
396	33399	389181
397	33481	389073
398	33565	388991
399	33650	388912
400	33733	388817
401	33815	388706
402	33898	388618
403	33980	388509
404	34063	388409
405	34144	388289
406	34226	388184
